AÑO,CLASIFICACION,CH4_eq,CO2_eq,N2O_eq,Total_Emisiones,Emisiones_netas
1990,2.B.8. Producción petroquímica y de negro de humo.,0.1069,103.1949,,103.3019,103.3019
1990,2.B.8.b. Etileno,0.0000,0.0000,,0.0000,0.0000
1990,2.B.8.c. Dicloruro de etileno y monómero cloruro de vinilo,0.0581,26.9709,,27.0289,27.0289
1990,2.B.8.f. Negro de humo,0.0489,76.2241,,76.2730,76.2730
1990,2.C. Industria del metal,0.2562,683.3025,,683.5588,683.5588
1990,2.C.1. Producción de hierro y acero.,0.2562,599.4733,,599.7295,599.7295
1990,2.C.1.a Acero,,573.3297,,573.3297,573.3297
1990,2.C.1.d Sinterizado,0.2562,26.1436,,26.3998,26.3998
1990,2.C.2. Producción de ferroaleaciones,,83.0272,,83.0272,83.0272
1990,2.C.5. producción de plomo,,0.8021,,0.8021,0.8021
1990,2.D. Uso de productos no energéticos de combustibles y de solventes,,0.0000,,0.0000,0.0000
1990,2.D.1. Uso de lubricantes,,0.0000,,0.0000,0.0000
1990,2.D.2. Uso de cera de parafina,,0.0000,,0.0000,0.0000
1990,2.G. Manufactura y utilización de otros productos,,,,41.7000,41.7000
1990,2.G.1. Equipos eléctricos,,,,41.7000,41.7000
1990,3 Agricultura,32290.7366,248.3423,6988.4675,39527.5464,39527.5464
1990,3.A. Fermentación entérica,30646.5879,0.0000,0.0000,30646.5879,30646.5879
1990,3.A.1. Ganado,28687.9416,0.0000,0.0000,28687.9416,28687.9416
1990,3.A.1.a. Otro,28687.9416,0.0000,0.0000,28687.9416,28687.9416
1990,3.A.1.a.i. Vacas de Alta Producción,1296.6236,0.0000,0.0000,1296.6236,1296.6236
1990,3.A.1.a.ii. Vacas de Baja Producción,4642.7224,0.0000,0.0000,4642.7224,4642.7224
1990,3.A.1.a.iii. Vacas para producción de carne,6287.1762,0.0000,0.0000,6287.1762,6287.1762
1990,3.A.1.a.iv. Toros utilizados con fines reproductivos,766.6582,0.0000,0.0000,766.6582,766.6582
1990,3.A.1.a.v. Terneros pre-destetos,1887.2935,0.0000,0.0000,1887.2935,1887.2935
1990,3.A.1.a.vi. Novillas de remplazo,6831.5497,0.0000,0.0000,6831.5497,6831.5497
1990,3.A.1.a.vii. Ganado de engorde,6975.9181,0.0000,0.0000,6975.9181,6975.9181
1990,3.A.2. Ovinos,356.5800,0.0000,0.0000,356.5800,356.5800
1990,3.A.2.a. Otro,356.5800,0.0000,0.0000,356.5800,356.5800
1990,3.A.2.a.i. Ovinos,356.5800,0.0000,0.0000,356.5800,356.5800
1990,3.A.3. Porcinos,101.5227,0.0000,0.0000,101.5227,101.5227
1990,3.A.3.a. Otro,101.5227,0.0000,0.0000,101.5227,101.5227
1990,3.A.3.a.i. Porcinos < 6 meses,74.7444,0.0000,0.0000,74.7444,74.7444
1990,3.A.3.a.ii. Porcinos > 6 meses,8.0638,0.0000,0.0000,8.0638,8.0638
1990,3.A.3.a.iii. Porcinos baja productividad,18.7145,0.0000,0.0000,18.7145,18.7145
1990,3.A.4. Otro ganado,1500.5436,0.0000,0.0000,1500.5436,1500.5436
1990,3.A.4.a. Búfalos,15.8436,0.0000,0.0000,15.8436,15.8436
1990,3.A.4.d. Caprinos,134.2600,0.0000,0.0000,134.2600,134.2600
1990,3.A.4.e. Caballos,995.4000,0.0000,0.0000,995.4000,995.4000
1990,3.A.4.f. Mulas y asnos,355.0400,0.0000,0.0000,355.0400,355.0400
1990,3.A.4.g. Aves de corral,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.A.4.g.i.  Ponedoras,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.A.4.g.ii.  Pollo de engorde,0.0000,0.0000,0.0000,0.0000,0.0000
1990,3.B. Gestión del estiercol,1116.2265,0.0000,561.5774,1677.8040,1677.8040
1990,3.B.1. Ganado,395.2423,0.0000,44.5972,439.8396,439.8396
1990,3.B.1.a. Otro,395.2423,0.0000,44.5972,439.8396,439.8396
1990,3.B.1.a.i. Vacas de Alta Producción,136.7163,0.0000,0.0000,136.7163,136.7163
1990,3.B.1.a.ii. Vacas de Baja Producción,48.8199,0.0000,44.5972,93.4171,93.4171
1990,3.B.1.a.iii. Vacas para producción de carne,62.0664,0.0000,0.0000,62.0664,62.0664
1990,3.B.1.a.iv. Toros utilizados con fines reproductivos,7.8101,0.0000,0.0000,7.8101,7.8101
1990,3.B.1.a.v. Terneros pre-destetos,21.6380,0.0000,0.0000,21.6380,21.6380
1990,3.B.1.a.vi. Novillas de remplazo,60.2261,0.0000,0.0000,60.2261,60.2261
1990,3.B.1.a.vii. Ganado de engorde,57.9654,0.0000,0.0000,57.9654,57.9654
1990,3.B.2. Ovinos,4.7740,0.0000,17.8392,22.6132,22.6132
1990,3.B.2.a. Otro,4.7740,0.0000,17.8392,22.6132,22.6132
1990,3.B.2.a.i. Ovinos,4.7740,0.0000,17.8392,22.6132,22.6132
1990,3.B.3. Porcinos,490.6522,0.0000,119.5817,610.2340,610.2340
1990,3.B.3.a. Otro,490.6522,0.0000,119.5817,610.2340,610.2340
1990,3.B.3.a.i. Porcinos < 6 meses,277.1402,0.0000,59.9475,337.0877,337.0877
1990,3.B.3.a.ii Porcinos > 6 meses,42.4151,0.0000,10.2185,52.6336,52.6336
1990,3.B.3.a.iii. Porcinos baja productividad,171.0969,0.0000,49.4158,220.5127,220.5127
1990,3.B.4. Otro ganado,225.5580,0.0000,203.9519,429.5099,429.5099
1990,3.B.4.a. Búfalos,0.3578,0.0000,0.2178,0.5756,0.5756
1990,3.B.4.d. Caprinos,2.3215,0.0000,7.3150,9.6366,9.6366
